fecha;indicativo;nombre;provincia;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;dir;velmedia;racha;horaracha;sol;presMax;horaPresMax;presMin;horaPresMin;mes;
01/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;0,5;0,0;-1,4;4:46;2,4;15:05;99;0,6;3,1;Varias;0,0;973,3;Varias;970,6;14;January;
02/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;1,8;0,0;-1,7;8:21;5,2;14:24;21;4,7;7,8;13:25;4,3;970,7;0;967,8;14;January;
03/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;0,6;0,2;-2,8;5:12;4,0;15:06;99;0,3;3,6;Varias;0,0;975,4;Varias;969,8;1;January;
04/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;5,2;Ip;0,1;2:08;10,4;13:25;1;2,5;9,7;11:17;3,9;976,5;Varias;973,9;24;January;
05/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;3,3;0,0;-3,1;23:58;9,7;14:00;99;0,8;4,2;Varias;7,9;973,9;0;967,5;24;January;
06/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;3,8;0,0;-4,8;5:17;12,4;15:12;20;1,9;6,7;10:45;8,1;972,5;Varias;966,9;1;January;
07/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;3,4;0,0;-2,6;0:49;9,3;15:25;24;0,8;3,1;10:37;3,4;973,5;Varias;970,5;15;January;
08/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;7,4;0,0;-0,6;Varias;15,5;15:03;22;1,1;6,1;23:32;6,9;971,6;Varias;968,0;15;January;
09/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;5,4;2,0;2,0;5:25;8,9;13:53;22;5,0;12,8;14:38;6,5;968,2;0;961,8;14;January;
10/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;4,8;0,1;0,3;23:10;9,3;14:27;36;1,7;9,2;13:07;1,5;973,1;Varias;966,1;0;January;
11/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;3,3;0,0;-3,7;23:04;10,3;14:57;99;1,7;3,6;Varias;6,1;973,3;Varias;969,4;15;January;
12/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;0,6;0,0;-3,4;0:00;4,5;15:36;99;0,8;2,5;Varias;2,6;972,5;Varias;968,2;24;January;
13/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;4,0;0,0;-2,3;3:49;10,2;14:48;99;3,3;15,0;Varias;5,8;968,2;0;959,6;19;January;
14/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;8,4;0,0;4,6;Varias;12,3;13:36;20;8,1;17,5;15:59;5,4;959,9;Varias;957,3;15;January;
15/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;7,0;0,0;1,5;23:21;12,4;15:33;22;4,2;9,2;13:54;3,1;964,7;Varias;958,2;1;January;
16/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;9,0;0,1;3,4;0:00;14,6;14:14;99;4,4;12,8;Varias;6,0;964,6;Varias;960,9;18;January;
17/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;5,4;0,0;-0,3;23:56;11,0;0:42;99;1,9;16,4;0:30;0,4;972,2;Varias;962,0;1;January;
18/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;4,0;17,5;-1,3;1:01;9,4;12:09;99;3,3;9,7;Varias;1,9;970,8;0;958,5;17;January;
19/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;4,4;0,1;2,3;23:51;6,6;11:55;2;7,5;19,7;Varias;3,6;972,9;Varias;961,4;0;January;
20/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;1,8;0,0;0,1;7:38;3,4;13:16;2;5,3;15,3;Varias;1,2;973,3;1;970,8;15;January;
21/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;2,6;0,2;0,5;2:01;4,7;23:52;5;5,3;11,7;8:21;0,0;971,4;0;964,8;24;January;
22/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;6,6;0,7;3,6;7:59;9,7;14:17;99;1,4;6,7;Varias;1,1;964,8;0;960,0;22;January;
23/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;5,0;Ip;2,2;1:54;7,9;14:19;99;1,4;5,8;Varias;0,6;960,9;Varias;958,2;14;January;
24/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;4,8;0,0;-0,1;8:05;9,6;13:31;99;2,5;7,8;Varias;2,6;961,5;Varias;959,1;16;January;
25/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;5,1;4,3;0,5;6:47;9,7;15:36;17;1,1;7,8;14:04;0,3;959,4;0;956,2;16;January;
26/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;4,9;0,0;-0,8;7:33;10,6;14:23;22;2,8;10,8;18:34;7,0;962,6;Varias;958,4;0;January;
27/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;8,9;0,0;6,7;0:02;11,1;Varias;23;7,2;16,4;23:18;0,1;961,5;0;955,3;16;January;
28/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;8,0;0,0;1,1;23:09;14,8;14:03;22;3,1;13,3;0:03;7,7;961,2;Varias;955,8;1;January;
29/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;8,6;4,9;1,3;0:00;15,9;13:05;99;3,1;11,7;Varias;1,5;962,7;Varias;959,5;16;January;
30/01/2020;9091R;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;513;12,6;0,0;10,5;22:49;14,6;12:02;99;8,1;16,4;Varias;4,6;962,0;Varias;959,5;6;January;
